College,Country,Email Handle
Abilene Christian University,United States,acu.edu
Academy Of Art University,United States,academyart.edu
Acadia University,United States,acadiau.ca
Adams State University,United States,adams.edu
Adelphi University,United States,adelphi.edu
Adrian College,United States,adrian.edu
Agnes Scott College,United States,agnesscott.edu
Alabama Agricultural And Mechanical University,United States,aamu.edu
Alabama State University,United States,alasu.edu
Alaska Bible College,United States,akbible.edu
Alaska Pacific University,United States,alaskapacific.edu
Albany College Pharmacy And Health Sciences,United States,acphs.edu
Albany State University,United States,asurams.edu
Albertus Magnus College,United States,albertus.edu
Albion College,United States,albion.edu
Albright College,United States,alb.edu
Alcorn State University,United States,alcorn.edu
Alderson Broaddus University,United States,ab.edu
Alfred University,United States,alfred.edu
Alice Lloyd College,United States,alc.edu
Allegheny College,United States,allegheny.edu
Allen College,United States,allencollege.edu
Allen University,United States,allenuniversity.edu
Alma College,United States,alma.edu
Alvernia University,United States,alvernia.edu
Alverno College,United States,alverno.edu
American Baptist College,United States,abcnash.edu
American International College,United States,aic.edu
American Jewish University,United States,aju.edu
American University,United States,american.edu
American University Beirut Aub,United States,aub.edu.lb
American University Bulgaria,United States,aubg.edu
American University Paris,United States,aup.edu
American University Rome,United States,aur.edu
Amherst College,United States,amherst.edu
Anderson University,United States,anderson.edu
Andrews University,United States,andrews.edu
Angelo State University,United States,angelo.edu
Anna Maria College,United States,annamaria.edu
Antioch College,United States,antiochcollege.edu
Appalachian Bible College,United States,abc.edu
Appalachian State University,United States,appstate.edu
Aquinas College,United States,aquinas.edu
Aquinas College,United States,aquinascollege.edu
Arcadia University,United States,arcadia.edu
Arizona Christian University,United States,arizonachristian.edu
Arizona State University,United States,asu.edu
Arkansas Baptist College,United States,arkansasbaptist.edu
Arkansas State University,United States,astate.edu
Arkansas Tech University,United States,atu.edu
Arlington Baptist University,United States,arlingtonbaptistcollege.edu
Art Academy Cincinnati,United States,artacademy.edu
Art Center College Of Design,United States,artcenter.edu
Arts University Bournemouth Uk,United States,aub.ac.uk
Asbury University,United States,asbury.edu
Ashland University,United States,ashland.edu
Assumption College,United States,assumption.edu
Athens State University,United States,athens.edu
Auburn University,United States,auburn.edu
Auburn University At Montgomery,United States,aum.edu
Augsburg University,United States,augsburg.edu
Augusta University,United States,augusta.edu
Augustana College Illinois,United States,augustana.edu
Augustana University South Dakota,United States,augie.edu
Aurora University,United States,aurora.edu
Austin College,United States,austincollege.edu
Austin Graduate School Of Theology,United States,austingrad.edu
Austin Peay State University,United States,apsu.edu
Ave Maria University,United States,avemaria.edu
Averett University,United States,averett.edu
Avila University,United States,avila.edu
Azusa Pacific University,United States,apu.edu
Babson College,United States,babson.edu
Baker University,United States,bakeru.edu
Baldwin Wallace University,United States,bw.edu
Ball State University,United States,bsu.edu
Baptist College Of Florida,United States,baptistcollege.edu
Baptist College Of Health Sciences,United States,bchs.edu
Barclay College,United States,barclaycollege.edu
Bard College,United States,bard.edu
Bard College Berlin,United States,berlin.bard.edu
Bard College Simons Rock Early College,United States,simons-rock.edu
Barnard College,United States,barnard.edu
Barry University,United States,barry.edu
Barton College,United States,barton.edu
Bastyr University,United States,bastyr.edu
Bates College,United States,bates.edu
Bath Spa University,United States,bathspa.ac.uk
Bay Path University,United States,baypath.edu
Baylor University,United States,baylor.edu
Beacon College,United States,beaconcollege.edu
Becker College,United States,becker.edu
Belhaven University,United States,belhaven.edu
Bellarmine University,United States,bellarmine.edu
Belmont Abbey College,United States,bac.edu
Belmont University,United States,belmont.edu
Beloit College,United States,beloit.edu
Bemidji State University,United States,bemidjistate.edu
Benedict College,United States,benedict.edu
Benedictine College,United States,benedictine.edu
Benedictine University Az,United States,ben.edu
Benedictine University Il,United States,ben.edu
Bennett College,United States,bennett.edu
Bennington College,United States,bennington.edu
Bentley University,United States,bentley.edu
Berea College,United States,berea.edu
Berklee College Of Music,United States,berklee.edu
Berry College,United States,berry.edu
Bethany College,United States,bethanywv.edu
Bethany College,United States,bethanylb.edu
Bethany Lutheran College,United States,blc.edu
Bethel College,United States,bethelcollege.edu
Bethel College,United States,bethelks.edu
Bethel University,United States,bethelu.edu
Bethel University,United States,bethel.edu
Bethune Cookman University,United States,cookman.edu
Beulah Heights University,United States,beulah.edu
Biola University,United States,biola.edu
Birmingham Southern College,United States,bsc.edu
Bishops University,United States,ubishops.ca
Black Hills State University,United States,bhsu.edu
Blackburn College,United States,blackburn.edu
Blessing Rieman College Of Nursing,United States,brcn.edu
Bloomfield College,United States,bloomfield.edu
Bloomsburg University Of Pennsylvania,United States,bloomu.edu
Blue Mountain College,United States,bmc.edu
Bluefield College,United States,bluefield.edu
Bluefield State College,United States,bluefieldstate.edu
Bluffton University,United States,bluffton.edu
Bob Jones University,United States,bju.edu
Boise State University,United States,boisestate.edu
Boston College,United States,bc.edu
Boston University,United States,bu.edu
Bournemouth University Uk,United States,bournemouth.ac.uk
Bowdoin College,United States,bowdoin.edu
Bowie State University,United States,bowiestate.edu
Bowling Green State University,United States,bgsu.edu
Bradley University,United States,bradley.edu
Brandeis University,United States,brandeis.edu
Brenau University,United States,brenau.edu
Brescia University,United States,brescia.edu
Brevard College,United States,brevard.edu
Brewton Parker College,United States,bpc.edu
Briar Cliff University,United States,briarcliff.edu
Bridgewater College,United States,bridgewater.edu
Bridgewater State University,United States,bridgew.edu
Brigham Young University Hawaii,United States,byuh.edu
Brigham Young University Idaho,United States,byui.edu
Brigham Young University Provo,United States,byu.edu
Brown University,United States,brown.edu
Brunel University London,United States,brunel.ac.uk
Bryan College,United States,bryan.edu
Bryant University,United States,bryant.edu
Bryn Athyn College,United States,brynathyn.edu
Bryn Mawr College,United States,brynmawr.edu
Bucknell University,United States,bucknell.edu
Buena Vista University,United States,bvu.edu
Butler University,United States,butler.edu
Cabarrus College Of Health Sciences,United States,cabarruscollege.edu
Cabrini University,United States,cabrini.edu
Cairn University,United States,cairn.edu
Caldwell University,United States,caldwell.edu
California Baptist University,United States,calbaptist.edu
California College Arts,United States,cca.edu
California College Of The Arts,United States,cca.edu
California Institute Of The Arts,United States,calarts.edu
California Institute Technology Caltech,United States,caltech.edu
California Lutheran University,United States,callutheran.edu
California Maritime Academy,United States,csum.edu
California State Polytechnic University Pomona,United States,cpp.edu
California State University Bakersfield,United States,csub.edu
California State University Chico,United States,csuchico.edu
California State University Dominguez Hills,United States,csudh.edu
California State University East Bay,United States,csueastbay.edu
California State University Fresno,United States,csufresno.edu
California State University Fullerton,United States,fullerton.edu
California State University Long Beach,United States,csulb.edu
California State University Los Angeles,United States,calstatela.edu
California State University Monterey Bay,United States,csumb.edu
California State University Northridge,United States,csun.edu
California State University Sacramento,United States,csus.edu
California State University San Bernardino,United States,csusb.edu
California State University San Marcos,United States,csusm.edu
California State University Stanislaus,United States,csustan.edu
California University Of Pennsylvania,United States,calu.edu
California University Pennsylvania,United States,calu.edu
Calumet College Of St Joseph,United States,ccsj.edu
Calvary University,United States,calvary.edu
Calvin College,United States,calvin.edu
Cambridge College,United States,cambridgecollege.edu
Cameron University,United States,cameron.edu
Campbellsville University,United States,campbellsville.edu
Canisius College,United States,canisius.edu
Capital University,United States,capital.edu
Capitol Technology University,United States,captechu.edu
Cardinal Stritch University,United States,stritch.edu
Caribbean University,United States,caribbean.edu
Carleton College,United States,carleton.edu
Carlow University,United States,carlow.edu
Carroll College,United States,carroll.edu
Carroll College Montana,United States,carroll.edu
Carroll University,United States,carrollu.edu
Carson Newman University,United States,cn.edu
Carthage College,United States,carthage.edu
Case Western Reserve University,United States,case.edu
Castleton University,United States,castleton.edu
Catawba College,United States,catawba.edu
Catholic University America,United States,cua.edu
Cazenovia College,United States,cazenovia.edu
Cedar Crest College,United States,cedarcrest.edu
Cedarville University,United States,cedarville.edu
Centenary College Louisiana,United States,centenary.edu
Centenary University,United States,centenaryuniversity.edu
Central Christian College Of Kansas,United States,centralchristian.edu
Central College,United States,central.edu
Central Connecticut State University,United States,ccsu.edu
Central Methodist University,United States,centralmethodist.edu
Central Michigan University,United States,cmich.edu
Central Penn College,United States,centralpenn.edu
Central State University,United States,centralstate.edu
Central Washington University,United States,cwu.edu
Centre College,United States,centre.edu
Chadron State College,United States,csc.edu
Chaminade University Honolulu,United States,chaminade.edu
Champlain College,United States,champlain.edu
Chapman University,United States,chapman.edu
Charles R Drew University Medicine And Science,United States,cdrewu.edu
Charleston Southern University,United States,csuniv.edu
Charter Oak State College,United States,charteroak.edu
Chatham University,United States,chatham.edu
Chestnut Hill College,United States,chc.edu
Cheyney University Of Pennsylvania,United States,cheyney.edu
Chicago State University,United States,csu.edu
Chipola College,United States,chipola.edu
Chowan University,United States,chowan.edu
Christendom College,United States,christendom.edu
Christian Brothers University,United States,cbu.edu
Christopher Newport University,United States,cnu.edu
Cincinnati Christian University,United States,ccuniversity.edu
Claflin University,United States,claflin.edu
Claremont Mckenna College,United States,cmc.edu
Clarion University Of Pennsylvania,United States,clarion.edu
Clark Atlanta University,United States,cau.edu
Clark University,United States,clarku.edu
Clarke University,United States,clarke.edu
Clarks Summit University,United States,clarkssummitu.edu
Clarkson College,United States,clarksoncollege.edu
Clarkson University,United States,clarkson.edu
Clayton State University,United States,clayton.edu
Clear Creek Baptist Bible College,United States,ccbbc.edu
Cleary University,United States,cleary.edu
Clemson University,United States,clemson.edu
Cleveland Institute Of Music,United States,cim.edu
Cleveland State University,United States,csuohio.edu
Coastal Carolina University,United States,coastal.edu
Coe College,United States,coe.edu
Cogswell Polytechnical College,United States,cogswell.edu
Coker College,United States,coker.edu
Colby College,United States,colby.edu
Colby Sawyer College,United States,colby-sawyer.edu
Colgate University,United States,colgate.edu
College Of Charleston,United States,cofc.edu
College of Idaho,United States,collegeofidaho.edu
College of Mount Saint Vincent,United States,mountsaintvincent.edu
College Of Mount St Vincent,United States,mountsaintvincent.edu
College of New Jersey,United States,tcnj.edu
College of New Rochelle,United States,cnr.edu
College Of Saint Benedict,United States,csbsju.edu
College of Saint Elizabeth,United States,cse.edu
College of Saint Rose,United States,strose.edu
College Of St Mary,United States,csm.edu
College Of Staten Island Cuny,United States,csi.cuny.edu
College of the Atlantic Atlantic,United States,coa.edu
College of the Holy Cross,United States,holycross.edu
College Of The Ozarks,United States,cofo.edu
College of William & Mary,United States,wm.edu
College St Joseph,United States,csj.edu
College St Scholastica,United States,css.edu
College Wooster,United States,wooster.edu
Colorado Christian University,United States,ccu.edu
Colorado College,United States,coloradocollege.edu
Colorado Mesa University,United States,coloradomesa.edu
Colorado School Of Mines,United States,mines.edu
Colorado State University,United States,colostate.edu
Colorado State University Pueblo,United States,csupueblo.edu
Columbia College,United States,ccis.edu
Columbia College,United States,columbiasc.edu
Columbia College Chicago,United States,colum.edu
Columbia College Hollywood,United States,columbiacollege.edu
Columbia International University,United States,ciu.edu
Columbus College Of Art And Design,United States,ccad.edu
Columbus State University,United States,columbusstate.edu
Concord University,United States,concord.edu
Concordia College,United States,concordia-ny.edu
Concordia College Moorhead,United States,cord.edu
Concordia University Chicago,United States,CUChicago.edu
Concordia University Irvine,United States,cui.edu
Concordia University Nebraska,United States,cune.edu
Concordia University Portland Or,United States,cu-portland.edu
Concordia University St Paul,United States,csp.edu
Concordia University Texas,United States,concordia.edu
Concordia University Wisconsin,United States,cuw.edu
Connecticut College,United States,conncoll.edu
Conservatory Of Music Of Puerto Rico,United States,cmpr.edu
Converse College,United States,converse.edu
Cooper Union Advancement Science And Art,United States,cooper.edu
Coppin State University,United States,coppin.edu
Corban University,United States,corban.edu
Cornell College,United States,cornellcollege.edu
Cornerstone University,United States,cornerstone.edu
Cornish College Of The Arts,United States,cornish.edu
Covenant College,United States,covenant.edu
Creighton University,United States,creighton.edu
Criswell College,United States,criswell.edu
Crown College,United States,crown.edu
Culinary Institute America Ny,United States,culinary.edu
Culver Stockton College,United States,culver.edu
Cumberland University,United States,cumberland.edu
Cuny Baruch College,United States,baruch.cuny.edu
Cuny City College,United States,ccny.cuny.edu
Cuny Hunter College,United States,hunter.cuny.edu
Cuny John Jay College Of Criminal Justice,United States,jjay.cuny.edu
Cuny Lehman College,United States,lehman.cuny.edu
Cuny Medgar Evers College,United States,mec.cuny.edu
Cuny New York City College Of Technology,United States,citytech.cuny.edu
Cuny Queens College,United States,qc.cuny.edu
Cuny York College,United States,york.cuny.edu
Curry College,United States,curry.edu
Daemen College,United States,daemen.edu
Dakota State University,United States,dsu.edu
Dakota Wesleyan University,United States,dwu.edu
Dallas Baptist University,United States,dbu.edu
Dallas Christian College,United States,dallas.edu
Dalton State College,United States,daltonstate.edu
Dartmouth College,United States,dartmouth.edu
Davenport University,United States,davenport.edu
Davidson College,United States,davidson.edu
Davis Elkins College,United States,dewv.edu
Dean College,United States,dean.edu
Defiance College,United States,defiance.edu
Delaware State University,United States,desu.edu
Delaware Valley University,United States,delval.edu
Delta State University,United States,deltastate.edu
Denison University,United States,denison.edu
Depaul University,United States,depaul.edu
Depauw University,United States,depauw.edu
Desales University,United States,desales.edu
Dickinson College,United States,dickinson.edu
Dickinson State University,United States,dickinsonstate.edu
Digipen Institute Of Technology,United States,digipen.edu
Dillard University,United States,dillard.edu
Dixie State University,United States,dixie.edu
Doane University,United States,doane.edu
Dominican College,United States,dc.edu
Dominican University,United States,dom.edu
Dominican University California,United States,dominican.edu
Dordt College,United States,dordt.edu
Doshisha University Institute Liberal Arts,United States,mail.doshisha.ac.jp
Drake University,United States,drake.edu
Drew University,United States,drew.edu
Drexel University,United States,drexel.edu
Drury University,United States,drury.edu
Duke Kunshan University,United States,dukekunshan.edu.cn
Duke University,United States,duke.edu
Duquesne University,United States,duq.edu
Durham University,United States,durham.ac.uk
Dyouville College,United States,dyc.edu
Earlham College,United States,earlham.edu
East Carolina University,United States,ecu.edu
East Central University,United States,ecok.edu
East Stroudsburg University Of Pennsylvania,United States,esu.edu
East Tennessee State University,United States,etsu.edu
East Texas Baptist University,United States,etbu.edu
East West University,United States,eastwest.edu
Eastern Connecticut State University,United States,easternct.edu
Eastern Illinois University,United States,eiu.edu
Eastern Kentucky University,United States,eku.edu
Eastern Mennonite University,United States,emu.edu
Eastern Michigan University,United States,emich.edu
Eastern Nazarene College,United States,enc.edu
Eastern New Mexico University,United States,enmu.edu
Eastern Oregon University,United States,eou.edu
Eastern University,United States,eastern.edu
Eastern Washington University,United States,ewu.edu
Eckerd College,United States,eckerd.edu
Edgewood College,United States,edgewood.edu
Edinboro University Pennsylvania,United States,edinboro.edu
Edward Waters College,United States,ewc.edu
Elizabeth City State University,United States,ecsu.edu
Elizabethtown College,United States,etown.edu
Elmhurst College,United States,elmhurst.edu
Elmira College,United States,elmira.edu
Elms College,United States,elms.edu
Elon University,United States,elon.edu
Embry Riddle Aeronautical University Daytona Beach,United States,erau.edu
Embry Riddle Aeronautical University Prescott,United States,erau.edu
Embry Riddle Aeronautical University Worldwide Campus,United States,erau.edu
Emerson College,United States,emerson.edu
Emily Carr University Of Art Design,United States,ecuad.ca
Emmanuel College,United States,emmanuel.edu
Emmanuel College Ga,United States,ec.edu
Emmanuel College Ma,United States,emmanuel.edu
Emmaus Bible College,United States,emmaus.edu
Emory Henry College,United States,ehc.edu
Emory University,United States,emory.edu
Emporia State University,United States,emporia.edu
Endicott College,United States,endicott.edu
Erskine College,United States,erskine.edu
Escp Europe Business School,United States,escpeurope.eu
Eugene Lang College The New School For Liberal Arts,United States,newschool.edu
Eureka College,United States,eureka.edu
Evangel University,United States,evangel.edu
Evergreen State College,United States,evergreen.edu
Fairfield University,United States,fairfield.edu
Fairleigh Dickinson University,United States,fdu.edu
Fairmont State University,United States,fairmontstate.edu
Faith Baptist Bible College And Theological Seminary,United States,faith.edu
Fashion Institute Of Technology,United States,fitnyc.edu
Faulkner University,United States,faulkner.edu
Fayetteville State University,United States,uncfsu.edu
Felician University,United States,felician.edu
Ferris State University,United States,ferris.edu
Ferrum College,United States,ferrum.edu
Fisher College,United States,fisher.edu
Fisk University,United States,fisk.edu
Fitchburg State University,United States,fitchburgstate.edu
Five Towns College,United States,ftc.edu
Flagler College,United States,flagler.edu
Flashpoint Chicago Campus Columbia College Hollywood,United States,columbiacollege.edu
Florida Agricultural Mechanical University,United States,famu.edu
Florida Atlantic University,United States,fau.edu
Florida College,United States,floridacollege.edu
Florida Gulf Coast University,United States,fgcu.edu
Florida Institute Technology,United States,fit.edu
Florida International University,United States,fiu.edu
Florida Memorial University,United States,fmuniv.edu
Florida National University,United States,fnu.edu
Florida Polytechnic University,United States,flpoly.org
Florida Southern College,United States,flsouthern.edu
Florida State University,United States,fsu.edu
Fontbonne University,United States,fontbonne.edu
Fordham University,United States,fordham.edu
Fort Hays State University,United States,fhsu.edu
Fort Lewis College,United States,fortlewis.edu
Fort Valley State University,United States,fvsu.edu
Framingham State University,United States,framingham.edu
Francis Marion University,United States,fmarion.edu
Franciscan Missionaries Of Our Lady University,United States,ololcollege.edu
Franciscan University Of Steubenville,United States,franciscan.edu
Franklin College,United States,franklincollege.edu
Franklin Marshall College,United States,fandm.edu
Franklin Pierce University,United States,franklinpierce.edu
Franklin University Switzerland,United States,fus.edu
Franklin W Olin College Engineering,United States,olin.edu
Freed Hardeman University,United States,fhu.edu
Fresno Pacific University,United States,fresno.edu
Friends University,United States,friends.edu
Frostburg State University,United States,frostburg.edu
Furman University,United States,furman.edu
Gallaudet University,United States,gallaudet.edu
Gannon University,United States,gannon.edu
Gardner Webb University,United States,gardner-webb.edu
George Fox University,United States,georgefox.edu
George Mason University,United States,gmu.edu
George Washington University,United States,gwu.edu
Georgetown College,United States,georgetowncollege.edu
Georgetown University,United States,georgetown.edu
Georgia College,United States,gcsu.edu
Georgia Gwinnett College,United States,ggc.edu
