College,email,Country
Cégep de Saint-Jérôme,cstj.qc.ca,Canada
DAV Institute of Engineering & Technology,davietjal.org,India
Lovely Professional University,lpu.in,India
Somaiya Vidyavihar,somaiya.edu,India
NorthCap University,ncuindia.edu,India
Dharamsinh Desai University,ddu.ac.in,India
Lambton College,lambtoncollege.ca&&&&mylambton.ca,Canada
Afghan University,afghanuniversity.edu.af,Afghanistan
Aria Institute of Higher Education,aria.edu.af,Afghanistan
American University of Afghanistan,auaf.edu.af,Afghanistan
Al-Birony University,au.edu.af,Afghanistan
Badakhshan University,badakhshan.edu.af,Afghanistan
Balkh University,ba.edu.af,Afghanistan
Baghlan University,baghlan.edu.af,Afghanistan
Bakhtar University,bakhtar.edu.af,Afghanistan
Bost University,bost.edu.af,Afghanistan
Bamiyan University,bu.edu.af,Afghanistan
Dawat University,dawat.edu.af,Afghanistan
Dunya Institute of Higher Education,dunya.edu.af,Afghanistan
Faryab Higher Education Institute,faryab.edu.af,Afghanistan
Ghazni University,gu.edu.af,Afghanistan
Herat University,hu.edu.af,Afghanistan
Ibn Sina University,ibnesina.edu.af,Afghanistan
Jawzjan University,ju.edu.af,Afghanistan
Kaboora Institute of Higher Education,kaboora.edu.af,Afghanistan
Kabul Health Sciences Institute,kabuli.edu.af,Afghanistan
Kandahar University,kan.edu.af,Afghanistan
Kardan University,kardan.edu.af,Afghanistan
Karwan Institute of Higher Education,karwan.edu.af,Afghanistan
Kateb Institute of Higher Education,kateb.edu.af,Afghanistan
Khana-e-Noor Institute of Higher Education,ken.edu.af,Afghanistan
Kabul Education University,keu.edu.af,Afghanistan
Kabul Medical University,kmu.edu.af,Afghanistan
Kabul University,ku.edu.af,Afghanistan
Khurasan University,kumsa.net,Afghanistan
Maryam Institute of Higher Education,maryam.edu.af,Afghanistan
National Military Academy of Afghanistan,nmaa.edu.af,Afghanistan
Nangarhar University,nu.edu.af,Afghanistan
Pamir University,pamir.edu.af,Afghanistan
Parwan University,parwan.edu.af,Afghanistan
Polytechnical University of Kabul,polytechnic-kabul.org,Afghanistan
Paktia University,pu.edu.af,Afghanistan
Rana Institute of Higher Education,rihs.edu.af,Afghanistan
Sadat Institute of Higher Education,sadat.edu.af,Afghanistan
Salam University,salam.edu.af,Afghanistan
Shaikh Zayed University,szu.edu.af,Afghanistan
Takhar University,tu.edu.af,Afghanistan
Academy of Sports and Physical Training,aefs.edu.al,Albania
Academy of Arts,akademiaearteve.edu.al,Albania
Beder University,beder.edu.al,Albania
Epoka University,epoka.edu.al,Albania
American University of Tirana,uat.edu.al,Albania
Agricultural University of Tirana,ubt.edu.al,Albania
"University of Elbasan ""Aleksander Xhuvani""",uniel.edu.al,Albania
University “Pavaresia” Vlore,unipavaresia.edu.al,Albania
"University of Shkodra ""Luigj Gurakuqi""",unishk.edu.al,Albania
University of Tirana,unitir.edu.al,Albania
"University of Vlora ""Ismail Qemali""",univlora.edu.al,Albania
"University of Korca ""Fan Noli""",unkorce.edu.al,Albania
University of New York Tirana,unyt.edu.al,Albania
"University of Gjirokstra ""Eqerem Cabej""",uogj.edu.al,Albania
Polytechnic University of Tirana,upt.al,Albania
Ecole pour l'Informatique et les nouvelles Technologies - Albania,epitech.al,Albania
Université Amar Telidji,lagh-univ.dz,Algeria
Université M'hamed Bouguerra de Boumerdes,umbb.dz,Algeria
Université Mentouri Constantine,umc.edu.dz,Algeria
Université Mouloud Mammeri de Tizi Ouzou,ummto.dz,Algeria
Université d'Alger 3,univ-alger3.dz,Algeria
Université d'Alger,univ-alger.dz,Algeria
Université Badji Mokhtar,univ-annaba.dz,Algeria
Université de Batna,univ-batna.dz,Algeria
Université de Béjaia,univ-bejaia.dz,Algeria
Université de Biskra,univ-biskra.dz,Algeria
Université de Blida,univ-blida.dz,Algeria
Université de Chlef,univ-chlef.dz,Algeria
Universite des Sciences Islamiques de Constantine,univ-emir.dz,Algeria
Université de Guelma,univ-guelma.dz,Algeria
Centre Universitaire de Jijel,univ-jijel.dz,Algeria
Université de Mostaganem,univ-mosta.dz,Algeria
Université de M'sila,univ-msila.dz,Algeria
Centre Universitaire d'Oum El Bouaghi,univ-oeb.dz,Algeria
Université d'Oran Es-Senia,univ-oran.dz,Algeria
Université Kasdi Merbah Ouargla,univ-ouargla.dz,Algeria
Université de Saida,univ-saida.dz,Algeria
Université de Sidi-Bel-Abbès (Djillali Liabès),univ-sba.dz,Algeria
Université de Sétif,univ-setif.dz,Algeria
Université de Skikda,univ-skikda.dz,Algeria
Centre Universitaire de Tebessa,univ-tebessa.dz,Algeria
